id,exercise_category,exercise_preference,fitness_goal,intensity,exercise_name,description,image_url,video_url,exercise_length,adv_fee
1,1,HIIT,1,0,BEST 15 min Beginner Workout for Fat Burning (NO JUMPING HIIT!!!),"The most suitable for beginners HIIT training, no jumping exercise, low intensity, come to practice!",https://z3.ax1x.com/2021/04/04/cKzbGV.jpg,https://www.youtube.com/watch?v=bleOTMDa3_4,17'00'',0
2,1,HIIT,1,0,10 Min HIIT to burn calories | Standing Full Body Workout - No Equipment,After a quick sweat session? 10 mins hiit workout to get you going. Check out the full 28 day Flat Stomach Challenge below and leave a comment with how you went with this workout.,https://z3.ax1x.com/2021/04/04/cKzq2T.jpg,https://www.youtube.com/watch?v=j5SHMJ6mUoA,11'03'',0
3,1,HIIT,1,0,9-minute HIIT Workout For Beginners to Start Your Fitness Journey,"Ready to get started on your health and fitness journey? Try this 9-minute HIIT workout for beginners and download the 8fit app for more workouts you can do at home (and all the yummy, healthy recipes you could possibly imagine).",https://z3.ax1x.com/2021/04/04/cKzXMF.jpg,https://www.youtube.com/watch?v=jWCm9piAwAU,09'59'',0
4,2,HIIT,1,1,15 MIN FULL BODY HIIT WORKOUT - burn lots of calories / No Equipment I Pamela Reif,"wow - this one is NEXT LEVEL intense :D // Werbung You will definitely sweat and most likely struggle during those 15 minutes .. but that's alright. Just don't quit. But this killer workout burns a lot of calories - and that's what we need sometimes, right?  In those 15min, you will burn anything between 80-150kcal, depending on your weight, height and fitness level. __ No Equipment necessary and not much space needed :) If you need more breaks - TAKE THEM! Don't worry too much about that. You will improve over time :) that's the best feeling! The video is in full length which means you can just follow whatever I’m doing 30s for each exercise. I recommend switching up your workouts to give your muscles enough time to recover and to hit them from different angles. If you want to challenge your body in another way: check out my 10min Ab Workout, 20min Booty Workout or the Song Workouts. ",https://z3.ax1x.com/2021/04/04/cKzLxU.jpg,https://www.youtube.com/watch?v=1skBf6h2ksI,15'29'',1000
5,2,HIIT,1,1,"30 MIN CALORIE KILLER HIIT Workout - Full body Cardio, No Equipment, No Repeat","Here's a killer post-Christmas Cookie Burner workout for you all! Time to get the heart pumping, burn some calories and sweat it out. Grab your mat, a bottle of water and let's do it team! ",https://z3.ax1x.com/2021/04/04/cKzHP0.jpg,https://www.youtube.com/watch?v=jpizoUy4K9s,35'52'',0
6,2,HIIT,1,1,"40 MIN FULL BODY PILATES HIIT | Lose Weight, Feel Great!","It's essentially four workouts in ONE...a one-stop-shop if you will! Let's get that heart rate up, sweat, have some fun, and sculpt the entire body into the figure you've always wanted! The best part is, there is no jumping, no impact, no equipment needed, and small apartment friendly!",https://z3.ax1x.com/2021/04/04/cKzjr4.jpg,https://www.youtube.com/watch?v=TJOpQ1qycfw,42'10'',0
7,3,HIIT,2,0,20 min Full Body HIIT Workout - Beginner Strength - 40s/40s Intervals,This workout includes fundamental movements to build strength and is great for beginners. Work on perfecting your form and then complete as many reps as possible within the interval. Make this a low impact workout but swapping X Jump for Mountain Climbers. ,https://z3.ax1x.com/2021/04/04/cKzzZ9.jpg,https://www.youtube.com/watch?v=Kyv9iJf0gT8,20'09'',0
8,3,HIIT,2,0,30MIN FULL BODY WORKOUT // burn fat & build muscle // no equipment!,It is one of the most intense workouts. The music and exercises were so nice because they had a variety.,https://z3.ax1x.com/2021/04/04/cMSSaR.jpg,https://www.youtube.com/watch?v=8fK0VnI3DLg,32'57'',0
9,3,HIIT,2,0,17 Min Strength Training Workout for Beginners - Beginner Workout Routine at Home for Women & Men,This HIIT video is rather old at this point. Using this video and changing diet slightly.,https://z3.ax1x.com/2021/04/04/cMSpI1.jpg,https://www.youtube.com/watch?v=WIHy-ZnSndA,18'08'',0
10,4,HIIT,2,1,BODYWEIGHT HIIT! FULL BODY HOME WORKOUT! CALORIE BURN & MUSCLE BUILDING! #CrockFitApp​ HomeFit,"Absolutely brilliant workout, the structure and range of exercises is spot on. Legend",https://z3.ax1x.com/2021/04/04/cKzvqJ.jpg,https://www.youtube.com/watch?v=b-VzI-X3C8c,29'05'',0
11,4,HIIT,2,1,30 Min FULL BODY DUMBBELL WORKOUT at Home | Muscle Building,"This is a follow along 30 minute full body dumbbell workout that will target every muscle group with compound movement to help you become stronger, build lean muscle, burn energy for hours after completing and basically leave you feeling awesome!! ",https://z3.ax1x.com/2021/04/04/cMSCPx.jpg,https://www.youtube.com/watch?v=GViX8riaHX4,36'28'',300
12,4,HIIT,2,1,FULL BODY HIIT to BUILD MUSCLE / BURN FAT! (HomeFit1-Cycle2-Day2),That’s was some way to start a Sunday morning!!! Legs are on fire!! ,https://z3.ax1x.com/2021/04/04/cMSPG6.jpg,https://www.youtube.com/watch?v=yD7d8wLlPaE,29'53'',0
